name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
Stockholm,2023-01-18,39.2,28.5,35.8,32.9,27.1,29.8,30.9,82.5,0.063,100,12.5,"rain,snow",0,0,23.5,12.8,159.7,991.2,62.5,15.9,14.5,1.2,1,10,2023-01-18T08:26:18,2023-01-18T15:30:26,0.89,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,rain,"02486099999,02464099999,02469099999,02489099999,02484099999,02458099999,E4931,ESSB"
Stockholm,2023-01-19,33.7,24.3,29.5,32.2,23.3,27.7,27.7,92.9,0,0,0,,0,0,8.9,5.2,199.8,1001.2,62.6,11.6,16.8,1.4,1,10,2023-01-19T08:24:39,2023-01-19T15:32:44,0.92,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"02486099999,02464099999,02460099999,02490099999,02469099999,02489099999,02484099999,02443099999,02458099999,ESSA,E4931,ESSB"
Stockholm,2023-01-20,35.1,23.3,30.8,35.1,23.3,30,29.2,93.9,0.049,100,20.83,"rain,snow",0,0,8.9,5.1,115.9,1015.5,85.5,8.1,13.3,1.2,1,10,2023-01-20T08:22:57,2023-01-20T15:35:03,0.95,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow in the morning and afternoon.,rain,"02486099999,02464099999,02469099999,02489099999,02484099999,02458099999,E4931,ESSB"
Stockholm,2023-01-21,32.2,24.6,28.7,32.2,16.8,24.1,28.2,97.9,0,0,0,,0,0,11.2,7.6,291.4,1034.4,100,6.4,6,0.5,0,10,2023-01-21T08:21:12,2023-01-21T15:37:25,0,Overcast,Cloudy skies throughout the day.,cloudy,"02486099999,02464099999,02469099999,02489099999,02484099999,02458099999,E4931,ESSA,ESSB"
Stockholm,2023-01-22,24.8,21.8,23.2,24.5,16.7,21.3,22.5,97.1,0,0,0,,0,0,11.6,4.6,222.9,1039.3,99.5,3.4,7.6,0.5,0,10,2023-01-22T08:19:24,2023-01-22T15:39:47,0.02,Overcast,Cloudy skies throughout the day.,cloudy,"02486099999,02464099999,02469099999,02489099999,02484099999,02458099999,E4931,ESSB"
Stockholm,2023-01-23,26.8,20.8,23.1,23.1,10.7,14.5,21.3,93.1,0.001,100,4.17,snow,0,0,23.4,13.9,237.6,1037.6,95.7,13.6,10.3,0.8,1,10,2023-01-23T08:17:32,2023-01-23T15:42:11,0.05,"Snow, Overcast",Cloudy skies throughout the day with morning snow.,snow,"02486099999,02464099999,02469099999,02489099999,02484099999,02458099999,E4931,ESSB"
Stockholm,2023-01-24,38.8,28.3,34.5,31.9,18.4,26.8,32.9,93.8,0,0,0,,0,0,20.7,11.5,247,1029.9,98.1,9.1,4.8,0.5,0,10,2023-01-24T08:15:38,2023-01-24T15:44:37,0.09,Overcast,Cloudy skies throughout the day.,cloudy,"02486099999,02464099999,02469099999,02489099999,02484099999,02458099999,E4931,ESSB"
Stockholm,2023-01-25,43,39.2,41.1,36.1,32.5,34.5,39.3,93.4,0,0,0,,0,0,29.6,17.4,245,1018.1,96.5,12.5,9.9,0.9,1,10,2023-01-25T08:13:41,2023-01-25T15:47:04,0.12,Overcast,Cloudy skies throughout the day.,cloudy,"02486099999,02464099999,02469099999,02489099999,02484099999,02458099999,E4931,ESSB"
Stockholm,2023-01-26,39.7,28,36,37.2,22.3,30.6,31.9,85.6,0.055,100,8.33,rain,0,0,21.2,11,312.7,1019.9,49.6,12.9,18.4,1.4,1,10,2023-01-26T08:11:41,2023-01-26T15:49:31,0.15,"Rain, Partially cloudy",Clearing in the afternoon with morning rain.,rain,"02486099999,02464099999,02469099999,02489099999,02484099999,02458099999,E4931,ESSB"
Stockholm,2023-01-27,31.9,20.9,27.4,28.2,19.5,23.5,23.5,85.6,0.009,100,4.17,snow,0,0,8.9,6.7,258.1,1027.5,0.7,18,24,2.3,1,10,2023-01-27T08:09:39,2023-01-27T15:52:00,0.19,Snow,Clear conditions throughout the day with morning snow.,snow,"02486099999,02464099999,02469099999,02489099999,02484099999,02458099999,E4931,ESSB"
Stockholm,2023-01-28,37,26.5,32.2,31.8,18.8,25.9,28.2,85.2,0,0,0,,0,0,22.4,12,226.1,1016.4,53.4,17,15.5,1.3,1,10,2023-01-28T08:07:34,2023-01-28T15:54:30,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"02486099999,02464099999,02469099999,02489099999,02484099999,02458099999,E4931,ESSA,ESSB,F4490"
Stockholm,2023-01-29,42.7,30.2,35.8,35,26.6,30.4,32.6,88.3,0,0,0,,0,0,31.3,16.4,229.7,1001.9,72,14.9,18.2,1.5,1,10,2023-01-29T08:05:27,2023-01-29T15:57:00,0.25,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"02486099999,02464099999,02469099999,02489099999,02484099999,02458099999,E4931,ESSA,ESSB,F4490"
Stockholm,2023-01-30,42.4,37.2,39.6,34.7,27,30.9,29.4,67,0,0,0,"rain,snow",0,0,35.8,20.9,266.5,981.3,71.1,17.2,27.2,2.3,1,10,2023-01-30T08:03:17,2023-01-30T15:59:31,0.29,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"02486099999,02464099999,02469099999,02489099999,02484099999,02458099999,E4931,ESSA,ESSB"
Stockholm,2023-01-31,36.8,22.8,32,30.7,22.8,26.1,21.2,64.8,0.002,100,4.17,"rain,snow",0,0,33.6,18.9,267.2,994.5,16.8,17.8,26,2.1,2,10,2023-01-31T08:01:05,2023-01-31T16:02:03,0.32,"Snow, Rain",Clear conditions throughout the day with morning rain or snow.,rain,"02486099999,02464099999,02469099999,02489099999,02484099999,02458099999,E4931,ESSA,ESSB"
Stockholm,2023-02-01,31.3,21.4,28.3,31.3,21.1,26.4,26.1,91.7,0.052,100,41.67,"rain,snow",1.1,0.3,11.2,7,356.8,993.1,85.8,7.8,9.6,0.8,0,10,2023-02-01T07:58:51,2023-02-01T16:04:35,0.36,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow.,snow,"02486099999,02464099999,02469099999,02489099999,02484099999,02458099999,E4931,ESSA,ESSB"
Stockholm,2023-02-02,29,15.6,24.8,23,15.2,18.4,20.8,84.6,0.022,100,12.5,snow,0,0.1,17.9,10.6,314.9,1009.7,45.9,16.5,27.2,2.4,2,10,2023-02-02T07:56:35,2023-02-02T16:07:08,0.39,"Snow, Partially cloudy",Partly cloudy throughout the day with snow clearing later.,snow,"02486099999,02464099999,02469099999,02489099999,02484099999,02458099999,E4931,ESSA,ESSB"
Stockholm,2023-02-03,30.6,10,22.3,24.4,10,18.5,17.6,82.4,0.011,100,4.17,snow,0,0.2,22.4,11.6,0.4,1015.7,44.9,16.6,23.9,2.1,1,10,2023-02-03T07:54:17,2023-02-03T16:09:41,0.42,"Snow, Partially cloudy",Partly cloudy throughout the day with early morning snow.,snow,"02486099999,02464099999,02469099999,02489099999,02484099999,02458099999,E4931,ESSA,ESSB"
Stockholm,2023-02-04,26.9,12.2,22.3,21.5,9.9,15.2,16.9,79.9,0,0,0,,0,0.3,20.7,13.6,316.9,1034.6,34,16.2,35,3,2,10,2023-02-04T07:51:57,2023-02-04T16:12:14,0.46,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"02486099999,02464099999,02469099999,02489099999,02484099999,02458099999,E4931,ESSA,ESSB"
Stockholm,2023-02-05,29.8,12.2,25.5,22.7,9.4,18.1,20.6,82.6,0.008,100,8.33,"rain,snow",0.5,0.4,17.9,10.8,242.8,1032.8,76.2,14.8,17.3,1.5,1,10,2023-02-05T07:49:35,2023-02-05T16:14:47,0.5,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with afternoon rain or snow.,snow,"02486099999,02464099999,02469099999,02489099999,02484099999,02458099999,E4931,ESSA,ESSB"
Stockholm,2023-02-06,32.1,19.2,27,29.8,19.2,24.1,22.5,83.6,0.005,100,4.17,snow,0,0.6,14.6,6.8,254.1,1035.7,7.7,14.6,38.5,3.3,2,10,2023-02-06T07:47:11,2023-02-06T16:17:21,0.52,Snow,Clear conditions throughout the day with morning snow.,rain,"02486099999,02464099999,02469099999,02489099999,02484099999,02458099999,ESSA,E4931,ESSB"
Stockholm,2023-02-07,37.4,27.8,34.7,31.9,22.8,28.5,32.5,91.6,0,0,0,,0,0.5,15.7,10.2,232.1,1032.5,93.4,8.4,10.4,0.9,1,10,2023-02-07T07:44:45,2023-02-07T16:19:55,0.56,Overcast,Cloudy skies throughout the day.,cloudy,"02486099999,02464099999,02469099999,02489099999,02484099999,02458099999,E4931,ESSB"
Stockholm,2023-02-08,41.2,35.1,38.5,35.7,27.2,32.7,34.6,85.7,0,0,0,,0,0.5,24.6,13.1,223.4,1030.8,94.1,12.3,10.3,0.9,1,10,2023-02-08T07:42:18,2023-02-08T16:22:29,0.59,Overcast,Cloudy skies throughout the day.,cloudy,"02486099999,02464099999,02469099999,02489099999,02484099999,02458099999,E4931,ESSB"
Stockholm,2023-02-09,37.4,33.8,36,29.9,25.3,27.4,24.4,63.2,0.011,100,4.17,snow,0,0.7,32.4,17.3,212.1,1015,70.1,14.6,15.5,1.4,1,10,2023-02-09T07:39:49,2023-02-09T16:25:02,0.63,"Snow, Partially cloudy",Partly cloudy throughout the day with late afternoon snow.,rain,"02486099999,02464099999,02469099999,02489099999,02484099999,02458099999,E4931,ESSB"
Stockholm,2023-02-10,38.8,29.9,34.4,28.2,21.7,24.8,18.4,53.5,0.161,100,20.83,"rain,snow",0.8,0.6,40.8,22.8,257.5,1011.5,37.3,15.7,40.7,3.5,2,10,2023-02-10T07:37:19,2023-02-10T16:27:36,0.66,"Snow, Rain, Partially cloudy",Becoming cloudy in the afternoon with rain or snow.,snow,"02486099999,02464099999,02469099999,02489099999,02484099999,02458099999,E4931,ESSB,F4490"
Stockholm,2023-02-11,36,22,30.3,34.3,19.1,25.1,27,87.9,0.139,100,16.67,"rain,snow",0,0.6,24.6,13,315.2,1013.4,57.2,12.6,22.1,1.8,1,10,2023-02-11T07:34:47,2023-02-11T16:30:10,0.7,"Snow, Rain, Partially cloudy",Partly cloudy throughout the day with rain or snow clearing later.,rain,"02486099999,02464099999,02469099999,02489099999,02484099999,02458099999,E4931,ESSA,ESSB"
Stockholm,2023-02-12,37.2,21.9,31.9,32.8,16.1,27,28.3,86.4,0,0,0,,0,0.5,15.7,9,237.7,1024.5,17,15.2,31,2.5,1,10,2023-02-12T07:32:14,2023-02-12T16:32:43,0.73,Clear,Clear conditions throughout the day.,clear-day,"02486099999,02464099999,02469099999,02489099999,02484099999,02458099999,E4931,ESSB"
Stockholm,2023-02-13,44.4,33.4,39.3,39,29.1,34.3,31.8,75.4,0,0,0,,0,0.4,18.6,11,271.8,1024.5,29.3,17.8,44.7,3.9,2,10,2023-02-13T07:29:39,2023-02-13T16:35:17,0.75,Partially cloudy,Clearing in the afternoon.,partly-cloudy-day,"02486099999,02464099999,02469099999,02489099999,02484099999,02458099999,E4931,ESSA,ESSB"
